LJ0001|La bãsa fãa eb yẽgra ya boẽ, ya sikra sẽn na n yik ninsaal yĩngẽwa, n yɩɩd yĩnga sẽn n datã. Tõe ye yaasa be me n wilg bilfu, tɩ ninsaal waa rɩ.
LJ0103|A yaa bãaga, wala mese Rasda n wilg tɩ vooka yiiba, a kʋrod nika zĩigã. A sã n wa togẽ, pas yam nemd tɩ yaa bãaga.
LJ0105|Yaa vʋʋma nems nins b sẽn naagd n vʋʋgda, bãmb la a sẽn solɩ sɩd-a. Dõnd komedgame ta yaa bãaga ta sã n tog n tas taad ninga.
LJ0107|delete
LJ0109|Nasaar-da-b-bo tɩ tab a zɩsma. Tɩ tɩ tab yũubu, ta tab rɩɩm-b-taab rɩɩb-taab rɩɩb.Yaa waa ninsaal sẽn na n wa rɩk tabre.
LJ0118|Bãagẽ n zabdẽ n yõk ninsaar vʋʋsgo sore. Vʋʋsgã la a yĩig yĩiga. Vʋʋsgã la a na vʋɩsemẽ ta. Dẽ wã pʋg sã n yʋʋr sigare.
LJ0125|delete
LJ0125|Moos wɩlgame tɩ yaa foor mukã. Foor yaa bõe. Yaa fut yaa futi futi bãangã.
LJ0130|delete
LJ0137|delete
LJ0140|Mita ka le ka-kʋʋr wã ra saad tɩ gũ. Yaa ta yĩnga ne ka fãa yaa kõesg bala.
LJ0140|delete
LJ0143|delete
LJ0145|delete
LJ0147|Neb ka sõme le tɩ naag taag wa kɩsg kɛsgdamb sɩsag, bardame wã.
LJ0150|Tɩ nim ninga wa n ka geto laafɩ, bãmb wa rɩk-y, bãmb n likend ne laafɩ yɛl n yɩɩd yãmba. Ning yaa bõn-mia sõma.
LJ0154|delete
LJ0155|Ka sɩɩga a meng wã. A mi tɩ d raooga meng wũnna rũnda wã yaa bũmb kambã n kãe tog yũugd wã yelle. Tɩ yeel kooldame wɩ a yũum wã ninẽ, ka le kɛgd karasame goamã, tɩ yẽ fãa yaa yel-hãnd na n wa ta dõn-beoogo.
LJ0158|delete
LJ0159|delete
LJ0163|B sigaara yʋʋba sẽn ta zĩigninga, fɩ f ke tɩ doktɛɛdame. Sɩɩba
LJ0164|Tɩ bõen wa taba kʋ laoog rãmba. La Wẽnnaam sõngame tɩ burkinã faso ka.
LJ0165|delete
LJ0166|Mikame tɩ nõor ʋwʋsgo sigaar yuuga, yaa yɩɩl wata ne namsd buudu n kõdba.
LJ0167|Soa nina, yikdame tɩ yaa kõsgo. Yelgɩdame ta ka reete tɩ yaa yel-bʋʋr toore.
LJ0168|DẽB, tɩ b haa wa, b haa taabe bala wẽnda a sõng, madgame.Lebend kẽnd ne koorona le vɩrʋʋs a wɛɛng.
LJ0169|delete
LJ0170|delete
LJ0171|delete
LJ0173|delete
LJ0182|delete
LJ0183|n wilg tɩ sigaar ningã n koosed Afrika. Wa-bʋrkina faso wa soaba. Yaa sigaarã ta pãnga ya wʋsgo. Fo zẽn fũuga a rũndã.
LJ0184|delete
LJ0185|delete
LJ0189|delete
LJ0198|Baar wosgo. Yaa la, yãmb kõ sɩd tɩ sigaar a yũba?
LJ0199|delete
LJ0200|delete
LJ0202|Yaa wʋsgo. Pagã nengẽ. n yiid raowa nẽngẽ
LJ0204|delete
LJ0205|delete
LJ0206|delete
LJ0207|delete
LJ0208|delete
LJ0209|delete
LJ0210|delete
LJ0212|delete
LJ0214|delete
LJ0215|delete
LJ0220|delete
LJ0221|delete
LJ0225|delete
LJ0226|delete
LJ0227|delete
LJ0228|delete
LJ0231|delete
LJ0234|delete
LJ0235|delete
LJ0237|delete
LJ0239|delete
LJ0240|delete
LJ0241|delete
LJ0244|delete
LJ0245|delete
LJ0246|delete
LJ0249|delete
LJ0250|delete
LJ0251|delete
LJ0253|delete
LJ0255|delete
LJ0256|delete
LJ0259|delete
LJ0263|delete
LJ0265|delete
LJ0270|delete
LJ0273|delete
LJ0290|delete
LJ0298|delete
LJ0299|delete
LJ0305|delete
LJ0306|delete
LJ0307|delete
LJ0308|delete
LJ0313|delete
LJ0319|delete
LJ0320|delete
LJ0321|delete
LJ0324|Ligd ninga b paamda ta ta me n dɩɩme tɩ kom ligdi, n dɩ tɩ b wata n tɩgẽ wãng. Ligdã kibsa ne lok ra kẽta ra bɩl-foto b rɩgãnda foto n yẽ sẽn tɩ bãmb y yɛre tɩ ra rɩɩg sõma ne bãngã.
LJ0328|A zagl wʋn wã wa, fo mi a tiiri ta kõ-sore.
LJ0329|delete
LJ0331|B hãwa ne ligda ne gʋʋra, tɩ b sɩd yãk n pʋɩ buudã gill tɩ b bãng ta zagl paam paa.
LJ0333|delete
LJ0340|delete
LJ0343|delete
LJ0344|delete
LJ0348|Tõnd pʋsd a yam barka, tõnd pʋsd a bɛɛfẽ n taora soaba.
LJ0350|delete
LJ0353|delete
LJ0355|delete
LJ0356|delete
LJ0357|delete
LJ0358|delete
LJ0359|delete
LJ0360|delete
LJ0361|delete
LJ0362|delete
LJ0363|delete
LJ0364|delete
LJ0373|delete
LJ0378|delete
LJ0382|delete
LJ0383|delete
LJ0384|delete
LJ0385|delete
LJ0386|delete
LJ0387|delete
LJ0399|delete
LJ0400|delete
LJ0401|delete
LJ0402|delete
LJ0403|delete
LJ0404|delete
LJ0405|delete
LJ0406|delete
LJ0407|delete
LJ0408|delete
LJ0409|delete
LJ0410|delete
LJ0411|delete
LJ0412|delete
LJ0413|delete
LJ0417|delete
LJ0418|delete
LJ0419|delete
LJ0427|delete
LJ0428|delete
LJ0429|delete
LJ0430|delete
LJ0431|delete
LJ0432|delete
LJ0433|delete
LJ0434|delete
LJ0435|delete
LJ0436|delete
LJ0437|delete
LJ0438|delete
LJ0439|delete
LJ0440|delete
LJ0441|delete
LJ0442|delete
LJ0443|delete
LJ0444|delete
LJ0445|delete
LJ0446|delete
LJ0447|delete
LJ0448|delete
LJ0449|delete
LJ0451|delete
LJ0452|delete
LJ0453|delete
LJ0458|delete
LJ0469|Wa bool bõn-de-vɩrma. Nazar sʋka. Kẽ wa. Ta bool ki m wamdã noor.
LJ0471|Dat n bãnga, d paam kaseto, d paam kaseto, n diglge, n yãmb na n wa ta raab n yĩnga.
LJ0472|delete
LJ0488|delete
LJ0490|delete
LJ0498|delete
LJ0506|delete
LJ0510|delete
LJ0510|La pa bãmb namb a la meng la a põblem ye. Yãmb yãta nina ta gãeegd ne maafo to, ta ra tar-ta. Yãmb sʋk naama meng n ya pa raama meng pa tar yʋʋre.
LJ0523|delete
LJ0531|Dɩle, yaa kugl-bɛda yɩɩb soaba, yaa rog-m-mik naaba, yaa leba yaa halaggi, karem-a hal kʋrãna taase.
LJ0537|Tɩɩg na-kẽn rao pa sõm ye, tɩ b reeg naama ta kẽng bʋs-ma. A to, a saba kẽng bʋs-ma tɩ m tɩ m to koɛɛg naam.
LJ0551|delete
LJ0554|Bũning ne ras-maag ta kʋʋd a pa mi ye. Bʋ-to rags be rũna wã.
LJ0556|delete
LJ0564|delete
LJ0572|Tõnd pipi sʋkr ne yãmba, yaa taga bʋglã yãmb tarse n kẽnd n transɩsẽo rãmb wã ne minisete toore zalle, ta na n gẽe rog-n-mikã naam yelle ye.
LJ0578|delete
LJ0579|Zĩ-tãngã n pooda ta rẽsõaga, bala wɩsgo, al tɩ kaab nanda ning bãngã ta tags wɩsgo.
LJ0580|Tẽng zʋg bugumda koɛɛg fãa ta ra tõnd kibare, kood yõba dãmb kelgda tõndo, geta tõndo, gãna yaa boto tog yaa boto dĩziyariya boto ne bʋd-kĩna fãa so-wẽn-bɩ saag naase. Tẽng yẽeda bẽ yãsẽ wã vẽnd sẽngr tõnd sɛt sõasã n dɩk-a dĩsã, tɩ kelg pa ne naaba. Tũud muu wã.
LJ0584|delete
LJ0593|delete
LJ0595|delete
LJ0595|A tɩ rog-n-mik ta ra yɛlg n maan na n mi n dat wala moaag sãa ninga.
LJ0596|A tɩ rog-n-mik ta ra yɛlg n maan na n mi n dat wala moaag sãa ninga.
LJ0597|Foosã yaa m tɩ bãmb bee n zurgu, ra padem soolem wã n dɩk a tõnd tɩ d pʋgd bãmba. Tɩ yaa vẽnd sẽnk tɩ rãmb sɛt soasã n tɩ dɩ kãtg bẽnd tɩɩs. Tõnd ta gãdame tɩ, n be b kodg-y-vaarã na n kẽe tõnd sãnsga pʋga.
LJ0602|Rũmb ne tɩ rog-n-mik naab haan tɩga yõk ned pesg ta rog-n-mik la a tõnd maane. Bũmb tɩ waoog kõn kẽe.
LJ0609|tõnd vẽenem ninga. Ta tõnd raabẽ ye. B haand nans d gɛɛmoor na nams wãn sãnd be be ne tɛɛɛbg n kõ pʋgd-y waa.
LJ0612|delete
LJ0617|Yaa ned fãa ta ra soolem wã. Yaa miime, rɩmdãmba yaa bõona.
LJ0619|delete
LJ0620|delete
LJ0622|delete
LJ0638|La na namsa ta ra kosg n koadg n pa tõe saad n toga. Neba reenam tɩ tõnd bãngẽ tɩ tõnd pa nasa a dãmb ye.
LJ0640|M são ba mi n sõng ta namsga. La tõnd lebg lebgo, wala minis sɛɛrame, b bãnd bũmb a to yelle. B taas bũmb a to yelle. Pisk wala...
LJ0641|delete
LJ0643|delete
LJ0644|Rẽ na b gẽe yẽna yelle, ta bãng tɩ bũnd ning n tog n yõk-a, ne ning wa n tog naanemaana planeta, bɩ a maan planeta min-zɛd n kilta.
LJ0645|delete
LJ0645|Roog-migã n seg tɛka, pãrgd raad wã, yãmb na yãe na võg ta gilgd-m-da d rũmẽ, raag n tɩ yas na n tɩ ko.
LJ0648|delete
LJ0650|delete
LJ0651|delete
LJ0664|Mali,ne y sẽnegale eb tara bʋʋd eb boond n tɩ b woolf rãmba. Bõn-noe tãmb bolgã.
LJ0667|delete
LJ0670|delete
LJ0693|Tõnd yaa yaa yaarga. Tõnd yarsa tara na n pʋgãwã pɩ a yarg n pɩd ye, wala tẽngẽ.
LJ0708|delete
LJ0709|delete
LJ0710|delete
LJ0711|delete
LJ0714|delete
LJ0715|delete
LJ0718|delete
LJ0722|delete
LJ0725|delete
LJ0727|delete
LJ0728|delete
LJ0730|delete
LJ0731|delete
LJ0732|delete
LJ0734|delete
LJ0742|delete
LJ0743|delete
LJ0744|delete
LJ0745|delete
LJ0746|delete
LJ0748|delete
LJ0749|delete
LJ0753|delete
LJ0754|Mam ta rãmb zoa meng-meng meng a taa logtor, tõnd karmã ne taaba, lebg logtor kã-kãng me a taaba.
LJ0759|delete
LJ0760|delete
LJ0767|delete
LJ0768|delete
LJ0769|delete
LJ0770|Ta na n põe a yaool n koeesã, a wilga bũmb fãa yẽ n dat wẽlg n maane.
LJ0775|delete
LJ0776|delete
LJ0778|delete
LJ0780|delete
LJ0783|delete
LJ0785|delete
LJ0786|delete
LJ0787|delete
LJ0788|delete
LJ0790|delete
LJ0793|delete
LJ0794|delete
LJ0796|Tɩlib zoa kãngã taod dãmb sẽn ya ka n kõ tõndo, tɩ d modg n bãng n be tõnd b yirã.
LJ0800|Tɩ yʋʋra wa yaa sãnem a tẽnga, bõe n kɩt tɩ sãmem tẽng sẽn yaa pʋg-bẽens a yʋʋra, ta na tẽngã tɩ wa tɩ b wʋʋn tɩ kaya, dɩɩng a yʋɩb ta ra võor bɩ. Rɩ fãa gil-loogr poore, d na n tɩ sʋka wɛɛm tẽng naab koabg n gese, no-kẽnd ning bãmb n magd-b na n dɩkame, hẽnda yɩlẽ.
LJ0807|Bũmb taa la n kẽndr yɩɩga, n yik moog pãng kaanr n paam naama, n kʋd n kẽng n lebga.
LJ0808|Sorã sã n kae n loogd wã, tɩ tõnd yaab rãmba yã taab n lik taab noye, yet tɩ b yã tẽng rãmb n gɩɩ sãnde, b kon tõog tɩ ye.
LJ0811|delete
LJ0812|Mam wa n lebg n wa a karen-n-karem, n lebg a minaf sã n katr vẽn sɛɛse, b na n kre y Pro-Vẽensrãmba.
LJ0813|Kʋl-peolg pipi  dirɛctɛr-provensial. Polisãn dirɛctɛr-provensial dãmbã.Wargae.
LJ0817|Rao n ka tɩ kʋdogme pa nana yaa wusdu, la togntõogame tɩ fãa manege. Mam ye leb n wa kãandre.
LJ0820|Ta tarẽn-tard. M wa yɛlã raare ye. Yemma, yaa võ-yãoogã, võ-yãoogã waa. Rĩngã yaa m wa n kẽng-a-kʋʋlgã wakat ma, la m yɛlã boto. Ya, yaa m yaa võ-wão waa, võ-wão waa. A nasa dãmba yeela tõnd tɩ tũ yam tɩɩsa pa tar yõode. Ta la n yeel maam yaa.
LJ0825|delete
LJ0841|Yaa yɩɩ wʋtɩ sabã. M ta kae a sʋk n yõog bilgla zĩigã.
LJ0842|Tõnd pa tolẽ ye, wʋmd tɩ ned n wa na n pig-a ta wa n na n maan woto. A ye, pa zĩnd ye. Bãne, ye biigã.
LJ0861|La wala woto fo tɩ wa ta wa n da be kaanenem pa ta neeng tɩ, wa burkĩna fãa soab tɩ wẽnd tõnd dog mik-a. Yẽ zĩd-a. Yã yã pãyã. Yẽ zĩd-a. Kaoɛkã pãye.
LJ0862|Eh, wem tẽng naaba koabg be, soagl pʋga, dat n yi wala sebre. Yɛ sɩda. Yɛ sɩda, tɩ d na n boond tɩ liibri. Yɛ sɩda. Kẽed ne moog ninga yãmb na n kõtõnda. Yɛ sɩda. M tõe n kõo tõnd vẽenem a pʋgẽ be? Yɛ tõe yam. Yɛ tõe yamẽ.
LJ0863|Bɛɛrãaga noora. Bɛɛrãaga noora. Bɛɛrãaga noora. Naaba wʋʋbr yaoog be be wa.
LJ0877|delete
LJ0888|Zamaanã bee n wã ra yaa kẽnkẽ wʋsgo. Yaa kẽnga. Tɩ nin-kẽma kõtaab yam tɩ b paama paam pãng so-b bũmb ta na n wa leb taoore, b na paam laafi. Yaa woto n re. Pãng so-b bũmbame n sɩd kẽnga, zamaanã gãana gãandã ye wã. Dɩl wilgdame.
LJ0888|Yãmba ta sekd-y wɛɛm tẽnged sekd-y rẽ wãmb b mane. Vʋlgd rãmb be be lame. Zãmb tõnd yɩ pipi.
LJ0893|M paagd yaa bõe. Mam yete yaa na rãmsa pʋg t\'a yaa bõe. Yãmb mikdame tɩ yaa fo sã n yik n yã pa yaa tɩ fo ba wã.
LJ0897|delete
LJ0901|delete
LJ0904|delete
LJ0906|delete
LJ0911|delete
LJ0927|M sɩd suudda. Beoog mam, kẽ zĩr yaga be wẽnnaam,deeg m  yõogrã dũnna tim da ta beoog ye.
LJ0928|La b ra n tɩ yaa sɩke sɩd kalm ne m m mense. D ned ba a ye pa tõe n kõ-a to ta ye ba fʋɩ ye.
LJ0930|delete
LJ0941|delete
LJ0942|delete
LJ0943|delete
LJ0957|delete
LJ0961|delete
LJ0980|delete
LJ0981|delete
LJ0985|delete
LJ1006|Tẽng zug zug ta ra zulʋɩɩse. Sã n kẽe ne Esãnsa wẽng wã, sã n kẽe ne rɩɩbã wẽng wã, sã n kẽe ne Zãameng wẽng wã, zak-zãab wẽng wã, fãa yaa zulʋɩɩs n be.Dũniy tɩ mã gilli.
LJ1009|delete
LJ1025|delete
LJ1036|n dʋʋgame n pãase. Mams yũum, n kẽng dat n kẽng megrũnda, maam da yoor wa kɩl-kobeg naasem, n ta gaad tɩ lɛɛse.
LJ1037|Yaa bʋʋs saglg la yãmb ta dẽmb tõe saglg wala bãmb dãmba? Bʋ, ned fãa n na n maan sugr wɛɛngẽ tɩ bala ka ned ba a yembr yelle.
LJ1053|Yaa bõe n saglg la yãmb tar sẽn tõe n taag. Wala, n wa n tɩ yɩɩd a tõnd pa yɩɩd a tõndã n trans-pogdame. Bala, bãmb sã n ka yolse.
LJ1054|delete
LJ1057|Bas la a paasgoas yaa toot-to wã, tõnd tagsdam ta yaa wʋsgo.
LJ1066|delete
LJ1071|delete
LJ1076|delete
LJ1080|delete
LJ1082|bala ta kẽ paam bɩda wʋpʋt nin-bɩda yɩɩm zɩngri, ta sõng-a meng ye, tɩ a yeela fãa pɩɩ tõndãs paoodã pʋga.
LJ1083|Barã piiga lab ra paasẽn. Na m bʋoga taranspooran tɩɩ-b-loms n paase.
LJ1084|delete
LJ1085|delete
LJ1086|delete
LJ1099|delete
LJ1101|delete
LJ1104|delete
LJ1107|delete
LJ1110|Yel-bãmbã n kit tɩ tẽngã tara zuloese. Yel-fuk tɩ neba zʋg wa teeme. Yãmb ne a mi tɩ tõnd sɩng n kõn d formasão rãmba kome d sãmba.
LJ1125|delete
LJ1130|delete
LJ1132|delete
LJ1135|delete
LJ1140|delete
LJ1141|delete
LJ1146|delete
LJ1153|delete
LJ1154|delete
LJ1155|delete
LJ1156|delete
LJ1157|delete
LJ1157|delete
LJ1158|delete
LJ1159|delete
LJ1160|delete
LJ1161|delete
LJ1162|delete
LJ1163|delete
LJ1164|delete
LJ1165|delete
LJ1166|delete
LJ1172|delete
LJ1178|delete
LJ1187|delete
LJ1195|Ren yaa bʋ-yẽnga, na-sõng eda wa, na-sõng Capitaine Ibrahim Traoré ta bãng ta tara poorẽ. Yãmb tõnd toga tõnd tɩ d bãng yãmb...
LJ1200|n zoglg foo-foato, tɩ foo-foato y ta nɩvo. Tɩ m mi n ta zagd ta nɩvo kãnda.
LJ1201|Wakat-kãngã la b ye ta zagd yaa seoko, n tõe n deeg ned n wũbe.
LJ1202|Ta yõorã tog n ta zĩig ning b n teoog tɩ yaa sebo, sek yaa bõe, yaa ned yel-soaande wa n tande tɩ gomd bãn-wẽn-nangã keeka.
LJ1203|Tɩ wẽnd-meng yeelame tɩ b baoo n bãng yã-wẽnde. La pa gesg woto la a gete yẽ. Yaa tiki d pʋgẽ la fo togd n tiki, b karen-saamba ta tall fo n wuk fo n tog n wilg wãnnaam a kek. Rẽ neee.
LJ1205|delete
LJ1210|delete
LJ1214|Tɩ b yi zʋla a ning n pa be wã. Tɩ kã mik tɩ yaa kɩɩlem n tar-a ta zʋgd. Kã mik tɩ yaa yaa rao-bãng me a menem ta zʋgdẽ, tõnd tara sõngr n sõngd-ba. Sõngre yɩɩt tõnd gãfã pʋga, tɩ Wẽnnaam yeelame ta sika gãfa, tɩ yaa tãnd tũ.
LJ1219|delete
LJ1229|Bʋd-yɩnga, tɩ wãn yeelame tɩ b booda ta na n sakame. Tõnd na-bi yamã solendã le waas-a-lem n le yeelame.
LJ1235|Tɩ log-toɛɛm n maneg n ning peelse. N yet tɩ kaya tɩ b gɛs ned t\'a ka ta laab ye, tɩ b maana ko-peelã são. Zãmsd la yẽ yão-b wã.
LJ1236|Beoogã nẽna vẽeg ta gẽha pagã pʋgẽ.
LJ1237|delete
LJ1238|delete
LJ1262|Yãka n tõe fãa ad-biiga ta hãn konga fãnga, a la fẽe n kãe.
LJ1270|Ta tog n tãag sã n vẽn-kat-mid tɩ s koabd-a tɩ s pɩs-y la a naase. Rõ-fɛt rãmbã sãoore.
LJ1272|delete
LJ1281|Rẽenga, wala tʋm-a taab beẽ, ka maanda, la y tagsd ta a toẽn yẽ sõmbo.
LJ1282|delete
LJ1285|B yeelame ta yaa bũmbu, n fãagd ad-n-biiga, tɩ fo yi fo vɩɩma zu-loeese, dũni zʋka, la neb n tɩ fãa fo n nao wa tɩ segd ninig n wa ne fo vɩɩma pʋga, n yaa wẽnd a yembrã.
LJ1285|Ta Zaka rãmba a yẽnda bãh-b rãmb tɩ b yet tɩ pa na n toog n zĩnd ta kõb sota looge.
LJ1304|Lẽnd tõnd pɛgdã wẽnd tɩ tõnd hao wã tõog n maand fõnda sõng ta yiig tʋʋm teedo.
LJ1305|A tõnd paam-y a Revolusão wa bɩd-fo, ta wĩnigam tɩ tõnd tõoge n maan bũmbu. Rẽnde, tõnd tõog n fãag a tẽnga la da yetẽ...
LJ1309|delete
LJ1310|delete
LJ1311|delete
LJ1312|delete
LJ1313|delete
LJ1314|delete
LJ1315|delete
LJ1316|delete
LJ1317|delete
LJ1318|delete
LJ1319|delete
LJ1320|delete
LJ1321|delete
LJ1322|delete
LJ1323|delete
LJ1324|delete
LJ1327|delete
LJ1332|Bɩ, yaa veo-wɩta pʋga.Kãame. La ye, fãa, Wẽnnaam pʋɩte ta, tɩ d fãa ta laafɩ, tɩ d sɛgd taaba tɩ sũmoog a yeeda woto, d pʋʋs-a n tʋmd-n-taasã.
LJ1335|delete
LJ1336|delete
LJ1349|Fo gomda nes menga foo ne wẽn tẽn-sʋk ta yɩlgem tɩ ya wẽnd la fo baooda. Fo n na n lʋɩ noor a ya wẽndi?
LJ1350|delete
LJ1351|Sãnd na n boond ta zoezi wã. Dẽ zĩm tɩ rano leere. Be ka woto.
LJ1352|delete
LJ1371|delete
LJ1378|Sã mog-meng ne a yaa hal hal. Bũmb wẽnna ba wã, bãmb yaa dʋga. Bãmb yaa ta ra b dʋga. Tõndã kĩya, bɩ kaood, bãmb yaa ta ra b dʋga rãmba.
LJ1380|La kãka bak n be pʋ-peelma zʋg fãa, Wẽnnaam na sõngã. Tõe kota Wẽnnaam sõngã ta kell n yal a teed tɩlga zʋgu.
LJ1383|Vẽnd sẽn k tõnd sɛd soasã n deok-a tɩ bãndi, tõnd bãngã pakame. Neba ne ba neb sugr tɩ mame sukrã ta la pãnga, la a yãmb t\'a ra sõdemã tõe n wa tõnd bãngã kãanẽ bẽnna.
LJ1390|D ma waa d bõosd-wẽnde, tõnd pa mi tõnd kosgr yegdame, la bãmb t\'a tẽ sõang ne tõe.
LJ1391|Neb hãn naab taab n kẽ raaga, naab taab n doge, naab taab n vɩɩm sa-pʋga, naab yi-vilaag yẽnga wã kẽ wogdgo, ta yõ wa yell manege.
LJ1395|delete
LJ1398|Dɩk-b sokãng buru be-b yaa dõng wãnã yaa. M kẽdem be-b neer pʋg la pa tõe maan tɩ ta rẽ wẽnna?
LJ1400|delete
LJ1401|delete
LJ1404|delete
LJ1410|delete
